run	T	energy	magnetization	linked_overlapp
1000	0.5966625	-854.7788668683936	46	0.132
2000	0.5475	-1115.575976790212	-6	0.172
3000	0.5	-1253.2021396046482	-26	0.17866666666666667
4000	0.5966625	-1323.4636605164685	-6	0.232
5000	0.5966625	-1342.439308492703	-12	0.25466666666666665
6000	0.5475	-1384.558835723472	-22	0.27066666666666667
7000	0.5475	-1395.6806660324908	-36	0.28
8000	0.7002097865625	-1400.536610338332	-48	0.27066666666666667
9000	0.7002097865625	-1391.1177131782401	-40	0.22533333333333333
10000	0.7547171290921875	-1408.2337796338259	-22	0.248
11000	0.7002097865625	-1424.78155997798	-20	0.2866666666666667
12000	0.7002097865625	-1414.5275674675734	-20	0.26266666666666666
13000	0.7547171290921875	-1422.8592060378694	-14	0.27466666666666667
14000	0.7547171290921875	-1419.8949502636808	30	0.2733333333333333
15000	0.7002097865625	-1428.731045164537	-24	0.276
16000	0.7002097865625	-1449.369144221389	-2	0.2946666666666667
17000	0.6475456875	-1466.108292644124	2	0.2853333333333333
18000	0.6475456875	-1477.3313883835622	10	0.308
19000	0.5966625	-1481.3288830139752	6	0.324
20000	0.5966625	-1480.5883696607616	-6	0.316
21000	0.5475	-1488.9139423654642	-28	0.35333333333333333
22000	0.5966625	-1489.2152021559657	-10	0.30533333333333335
23000	0.5966625	-1493.9620454871801	-6	0.3546666666666667
24000	0.5966625	-1490.276289122707	-22	0.31066666666666665
25000	0.5966625	-1492.4586458427798	6	0.372
26000	0.5966625	-1490.4977347641861	-2	0.38533333333333336
27000	0.5966625	-1495.6301091457804	6	0.3466666666666667
28000	0.5966625	-1493.34336279998	6	0.368
29000	0.5966625	-1499.4392913913887	0	0.304
30000	0.5966625	-1496.4364816007205	0	0.304
31000	0.5966625	-1498.7409353761097	22	0.30266666666666664
32000	0.5966625	-1505.4272960171027	4	0.3333333333333333
33000	0.5475	-1508.344956034974	2	0.34
34000	0.5	-1515.5048217425867	8	0.32666666666666666
35000	0.5475	-1519.7563118958235	2	0.336
36000	0.5	-1520.7596332737119	8	0.3546666666666667
37000	0.5475	-1526.103577032368	10	0.336
38000	0.5475	-1531.5164506128572	-4	0.344
39000	0.5475	-1527.285620434106	2	0.32666666666666666
40000	0.5475	-1523.016897949987	2	0.3373333333333333
41000	0.5475	-1527.241524245045	4	0.36
42000	0.5475	-1529.8981431892282	-2	0.336
43000	0.5	-1535.3450757442445	-2	0.3453333333333333
44000	0.5	-1528.5037067518283	8	0.3466666666666667
45000	0.5	-1534.3159075209	10	0.35333333333333333
46000	0.5475	-1531.014293695145	-8	0.33466666666666667
47000	0.5475	-1534.340289064082	0	0.34933333333333333
48000	0.5475	-1530.474015433024	-6	0.3373333333333333
49000	0.5475	-1530.6277375558886	-12	0.3426666666666667
50000	0.5475	-1541.9380258233923	-4	0.36533333333333334
51000	0.5966625	-1538.3759381517457	-16	0.34
52000	0.5966625	-1538.9814673443307	-30	0.3413333333333333
53000	0.5966625	-1536.225538211274	-12	0.39466666666666667
54000	0.5475	-1538.0569607878547	-6	0.33066666666666666
55000	0.6475456875	-1530.6182183381172	-4	0.3453333333333333
56000	0.6475456875	-1528.8051549406061	-18	0.3973333333333333
57000	0.6475456875	-1521.0520366847977	-22	0.384
58000	0.6475456875	-1538.0037357985507	-20	0.33866666666666667
59000	0.5966625	-1538.2321965167996	-4	0.36
60000	0.5475	-1538.1503282362714	-12	0.3426666666666667
61000	0.5	-1540.6308360609025	-6	0.36133333333333334
62000	0.5	-1557.1597315134943	-26	0.37466666666666665
63000	0.5	-1555.207827216876	-24	0.38
64000	0.5	-1555.6189363513868	-14	0.37733333333333335
65000	0.5475	-1556.6491987166785	-4	0.368
66000	0.5	-1548.2912948841029	2	0.37066666666666664
67000	0.5	-1552.4783302855146	-12	0.38133333333333336
68000	0.5	-1560.9530420148308	-18	0.384
69000	0.5	-1556.1636976298698	-12	0.37466666666666665
70000	0.5475	-1556.5159207572199	-8	0.3626666666666667
71000	0.5475	-1554.5908884595601	0	0.3546666666666667
72000	0.5	-1556.9795883768998	-8	0.376
73000	0.5475	-1552.987757472508	-8	0.36
74000	0.5475	-1559.904060447604	-12	0.36133333333333334
75000	0.5	-1554.2026667756202	0	0.388
76000	0.5475	-1551.0965627776493	-2	0.348
77000	0.5475	-1544.346399490377	-4	0.3413333333333333
78000	0.5475	-1541.3869215821558	0	0.368
79000	0.5475	-1550.6660779441138	-6	0.372
80000	0.5475	-1557.223521798127	-2	0.33466666666666667
81000	0.5	-1559.507211629813	4	0.37866666666666665
82000	0.5	-1560.5765930523187	-6	0.37866666666666665
83000	0.5475	-1563.551480615688	4	0.376
84000	0.5475	-1557.9982546391216	4	0.38666666666666666
85000	0.5966625	-1563.585119222854	-2	0.396
86000	0.5966625	-1556.7228488748308	8	0.3893333333333333
87000	0.5966625	-1557.40307079378	8	0.34
88000	0.5966625	-1554.1123252911095	14	0.34
89000	0.5966625	-1564.3508285737898	-2	0.41333333333333333
90000	0.5966625	-1559.553359368895	0	0.412
91000	0.5475	-1558.9114086355378	-12	0.32666666666666666
92000	0.5475	-1555.3467165135992	-10	0.356
93000	0.5475	-1559.4155776208881	0	0.38
94000	0.5475	-1559.2985583360803	4	0.41733333333333333
95000	0.5475	-1555.3884309620332	16	0.332
96000	0.5	-1560.474131486599	4	0.35733333333333334
97000	0.5475	-1555.7839388744565	2	0.3893333333333333
98000	0.5475	-1560.252746573005	0	0.38533333333333336
99000	0.5	-1560.403394315045	-10	0.348
100000	0.5	-1564.8630643485878	-2	0.336
